time_s,x,y
0.000,0.081,1.305
0.111,1.066,1.326
0.223,1.160,1.352
0.335,1.206,1.390
0.446,1.207,1.439
0.547,1.199,1.522
0.648,1.220,1.587
0.748,1.220,1.587
0.849,1.268,1.633
0.951,1.337,1.699
1.061,1.372,1.759
1.171,1.360,1.800
1.272,1.314,1.864
1.372,1.314,1.864
1.472,1.280,1.924
1.573,1.262,1.917
1.674,1.233,1.929
1.774,1.233,1.929
1.880,1.191,1.956
1.990,1.158,1.936
2.100,1.121,1.893
2.210,1.055,1.857
2.320,1.003,1.862
2.421,1.613,1.520
2.525,1.554,1.572
2.635,1.532,1.629
2.745,1.510,1.709
2.846,1.478,1.781
2.949,1.443,1.797
3.049,1.443,1.797
3.153,1.394,1.793
3.263,1.314,1.787
3.374,1.250,1.811
3.490,1.189,1.863
3.591,1.119,1.905
3.695,1.119,1.905
3.807,1.067,1.904
3.908,1.035,1.876
4.008,1.407,1.596
4.110,1.335,1.620
4.220,1.279,1.667
4.321,1.279,1.667
4.424,1.216,1.719
4.525,1.168,1.737
4.625,1.126,1.727
4.726,1.126,1.727
4.826,1.061,1.707
4.927,1.062,1.780
5.028,3.043,1.465
5.129,3.103,1.516
5.229,3.104,1.466
5.339,3.160,1.519
5.440,3.160,1.519
5.544,3.210,1.555
5.654,3.229,1.593
5.764,3.226,1.643
5.876,3.249,1.727
5.988,3.288,1.800
6.100,3.288,1.800
6.212,3.344,1.851
6.325,3.401,1.896
6.437,3.435,1.913
6.548,3.453,1.919
6.660,3.491,1.923
6.772,3.561,1.905
6.873,3.612,1.867
6.974,3.612,1.867
7.083,3.653,1.821
7.192,3.672,1.810
7.303,3.675,1.837
7.403,3.706,1.882
7.518,3.787,1.917
7.619,3.787,1.917
7.721,3.861,1.912
7.835,3.926,1.902
7.935,3.977,1.888
8.036,4.012,1.896
8.137,4.012,1.896
8.250,4.051,1.921
8.351,4.132,1.918
8.451,4.207,1.894
8.552,4.267,1.867
8.652,4.320,1.838
8.755,4.320,1.838
8.865,4.363,1.849
8.975,4.404,1.890
9.085,4.468,1.919
9.185,4.545,1.907
9.286,4.607,1.885
9.400,4.607,1.885
9.510,4.669,1.866
9.620,4.715,1.867
9.730,4.755,1.902
9.839,4.808,1.917
9.953,4.882,1.909
10.053,4.882,1.909
10.163,4.939,1.886
10.263,5.004,1.865
10.368,5.054,1.844
10.469,5.095,1.866
10.579,5.136,1.911
10.689,5.136,1.911
10.796,5.208,1.912
10.910,5.208,1.912
11.014,5.334,1.869
11.118,5.385,1.843
11.221,5.425,1.850
11.334,5.425,1.850
11.444,5.471,1.886
