time_s,x,y
0.000,-0.034,1.201
0.110,1.016,0.727
0.210,1.046,0.732
0.317,1.079,0.747
0.418,1.106,0.760
0.518,1.106,0.760
0.630,1.125,0.760
0.737,1.145,0.751
0.850,1.170,0.734
0.950,1.190,0.714
1.051,1.201,0.687
1.162,1.201,0.687
1.263,1.203,0.656
1.364,1.201,0.625
1.464,1.199,0.597
1.567,1.202,0.574
1.667,1.202,0.574
1.768,1.210,0.555
1.869,1.229,0.537
1.982,1.252,0.524
2.084,1.276,0.513
2.184,1.276,0.513
2.285,1.310,0.514
2.398,1.346,0.526
2.508,1.374,0.532
2.614,1.395,0.524
2.714,1.416,0.508
2.815,1.416,0.508
2.916,1.436,0.484
3.017,1.454,0.462
3.117,1.461,0.435
3.218,1.461,0.406
3.334,1.461,0.406
3.434,1.456,0.378
3.534,1.450,0.353
3.634,1.451,0.331
3.735,1.460,0.311
3.835,1.460,0.311
3.936,1.479,0.291
4.037,1.503,0.273
4.137,1.531,0.263
4.238,1.567,0.265
4.351,1.567,0.265
4.452,1.599,0.271
4.555,1.624,0.266
4.667,1.647,0.253
4.768,1.670,0.233
4.868,1.686,0.210
4.968,1.686,0.210
5.082,1.693,0.181
5.183,1.693,0.150
5.296,1.686,0.119
5.397,1.675,0.094
5.507,1.671,0.090
5.615,1.671,0.090
5.715,1.674,0.086
5.816,1.689,0.081
5.916,1.709,0.076
6.017,1.729,0.074
6.118,1.729,0.074
6.218,1.755,0.075
6.333,1.787,0.086
6.434,1.812,0.097
6.534,1.831,0.095
6.634,1.831,0.095
6.735,1.850,0.077
6.837,1.868,0.063
6.937,1.887,0.075
7.051,1.891,0.085
7.151,1.891,0.085
7.252,1.891,0.095
7.352,1.895,0.103
7.452,1.903,0.113
7.552,1.913,0.125
7.656,1.913,0.125
7.767,1.924,0.135
7.867,1.941,0.149
7.967,1.962,0.169
8.068,1.983,0.194
8.169,1.983,0.194
8.269,2.000,0.227
8.370,2.013,0.262
8.470,2.025,0.286
8.583,2.039,0.303
8.693,2.056,0.317
8.794,2.056,0.317
8.897,2.080,0.321
9.008,2.107,0.317
9.117,2.132,0.304
9.217,2.152,0.285
9.326,2.169,0.267
9.427,2.169,0.267
9.534,2.184,0.254
9.635,2.207,0.243
9.750,2.231,0.244
9.850,2.256,0.257
9.951,2.256,0.257
10.052,2.279,0.274
10.152,2.302,0.294
10.252,2.319,0.326
10.352,2.329,0.357
10.456,2.329,0.357
10.567,2.342,0.379
10.668,2.361,0.397
10.768,2.382,0.411
10.869,2.409,0.416
10.970,2.409,0.416
11.070,2.442,0.411
11.170,2.476,0.396
11.271,2.506,0.377
11.371,2.531,0.359
11.484,2.531,0.359
11.584,2.556,0.344
11.685,2.583,0.336
11.786,2.609,0.339
11.895,2.634,0.355
11.996,2.634,0.355
12.096,2.661,0.375
12.201,2.682,0.399
12.301,2.692,0.434
12.402,2.699,0.466
12.502,2.699,0.466
12.602,2.714,0.488
12.702,2.736,0.502
12.803,2.755,0.518
12.917,2.783,0.527
13.017,2.821,0.525
13.118,2.821,0.525
13.218,2.862,0.513
13.318,2.894,0.501
13.419,2.916,0.492
13.530,2.916,0.492
13.631,2.941,0.488
13.734,2.972,0.489
13.840,3.003,0.503
13.943,3.025,0.525
14.043,3.025,0.525
14.148,3.042,0.553
14.251,3.056,0.583
14.351,3.062,0.615
14.451,3.062,0.644
14.551,3.068,0.669
14.652,3.068,0.669
14.753,3.084,0.690
14.868,3.110,0.709
14.968,3.119,0.695
15.068,3.143,0.713
15.168,3.143,0.713
15.268,3.177,0.727
15.368,3.211,0.735
15.468,3.243,0.735
15.568,3.243,0.735
15.669,3.276,0.730
15.769,3.311,0.725
15.873,3.341,0.728
15.984,3.365,0.740
16.084,3.384,0.764
16.197,3.402,0.793
16.300,3.402,0.793
16.401,3.408,0.825
16.502,3.411,0.857
16.602,3.411,0.887
16.717,3.407,0.916
16.818,3.407,0.916
16.918,3.408,0.941
17.029,3.419,0.964
17.134,3.443,0.984
17.248,3.472,1.004
17.348,3.472,1.004
17.449,3.502,1.017
17.551,3.534,1.026
17.652,3.567,1.031
17.763,3.596,1.037
17.864,3.621,1.049
17.966,3.621,1.049
18.070,3.641,1.070
18.171,3.654,1.102
18.271,3.659,1.135
18.382,3.653,1.168
18.484,3.653,1.168
18.599,3.643,1.201
18.709,3.632,1.230
18.809,3.625,1.254
18.910,3.625,1.279
19.012,3.630,1.304
19.113,3.630,1.304
19.213,3.648,1.332
19.314,3.671,1.357
19.415,3.699,1.377
19.515,3.699,1.377
19.615,3.729,1.392
19.716,3.758,1.404
19.820,3.782,1.420
19.922,3.799,1.441
20.023,3.810,1.470
20.133,3.810,1.470
20.233,3.813,1.502
20.335,3.806,1.534
20.446,3.790,1.566
20.546,3.769,1.595
20.647,3.769,1.595
20.748,3.750,1.619
20.849,3.735,1.642
20.949,3.729,1.666
21.051,3.729,1.666
21.151,3.732,1.694
21.252,3.742,1.724
21.352,3.758,1.756
21.453,3.781,1.784
21.554,3.808,1.806
21.655,3.808,1.806
21.756,3.831,1.824
21.856,3.846,1.849
21.966,3.854,1.876
22.079,3.854,1.905
22.180,3.854,1.905
22.281,3.853,1.915
22.381,3.840,1.915
22.494,3.825,1.914
22.595,3.813,1.914
22.696,3.813,1.914
22.796,3.807,1.915
22.897,3.806,1.917
22.998,3.808,1.914
23.098,3.824,1.914
23.199,3.824,1.914
23.299,3.845,1.913
23.400,3.866,1.912
23.501,3.884,1.911
23.615,3.899,1.907
23.716,3.909,1.905
23.816,3.909,1.905
23.921,3.914,1.909
24.025,3.917,1.915
24.130,3.913,1.915
24.233,3.913,1.915
24.334,3.898,1.912
24.447,3.888,1.905
24.557,3.877,1.899
24.667,3.869,1.888
24.768,3.865,1.881
24.868,3.869,1.881
24.978,3.869,1.881
25.088,3.882,1.888
25.197,3.907,1.895
25.298,3.935,1.900
25.398,3.965,1.901
25.499,3.965,1.901
25.610,3.993,1.900
25.720,4.020,1.895
25.821,4.041,1.899
25.921,4.054,1.909
26.033,4.065,1.923
26.133,4.065,1.923
26.233,4.073,1.923
26.334,4.070,1.917
26.435,4.067,1.911
26.535,4.063,1.910
26.646,4.060,1.907
26.748,4.060,1.907
26.849,4.065,1.904
26.951,4.077,1.902
27.052,4.096,1.901
27.152,4.096,1.901
27.264,4.123,1.897
27.368,4.153,1.887
27.468,4.182,1.871
27.580,4.209,1.856
27.680,4.231,1.845
27.783,4.231,1.845
27.884,4.251,1.840
27.984,4.270,1.838
28.099,4.287,1.845
28.199,4.299,1.864
28.303,4.306,1.886
28.413,4.306,1.886
28.516,4.306,1.913
28.631,4.311,1.915
28.731,4.310,1.917
28.832,4.320,1.917
28.933,4.320,1.917
29.033,4.336,1.917
29.133,4.357,1.914
29.244,4.382,1.905
29.344,4.409,1.887
29.445,4.436,1.863
