time_s,x,y
0.000,-0.013,1.287
0.111,1.004,0.722
0.222,1.014,0.722
0.334,1.022,0.716
0.446,1.031,0.706
0.558,1.042,0.695
0.664,1.052,0.688
0.765,1.052,0.688
0.874,1.061,0.682
0.975,1.067,0.674
1.079,1.075,0.668
1.189,1.082,0.661
1.299,1.090,0.655
1.408,1.090,0.655
1.508,1.098,0.651
1.609,1.109,0.646
1.710,1.119,0.639
1.810,1.132,0.638
1.911,1.132,0.638
2.023,1.150,0.643
2.133,1.165,0.644
2.243,1.176,0.641
2.352,1.185,0.634
2.464,1.196,0.624
2.574,1.206,0.613
2.674,1.206,0.613
2.775,1.215,0.604
2.889,1.225,0.597
2.989,1.234,0.593
3.090,1.243,0.588
3.190,1.243,0.588
3.291,1.249,0.578
3.393,1.257,0.573
3.503,1.267,0.568
3.613,1.278,0.563
3.725,1.289,0.556
3.837,1.289,0.556
3.949,1.304,0.555
4.061,1.321,0.557
4.174,1.334,0.557
4.286,1.344,0.552
4.397,1.353,0.540
4.510,1.364,0.526
4.622,1.373,0.516
4.734,1.383,0.509
4.836,1.383,0.509
4.937,1.393,0.502
5.037,1.402,0.496
5.145,1.410,0.489
5.255,1.410,0.489
5.356,1.416,0.482
5.460,1.425,0.478
5.560,1.435,0.471
5.661,1.447,0.464
5.761,1.459,0.458
5.862,1.459,0.458
5.963,1.474,0.457
6.063,1.490,0.456
6.164,1.502,0.452
6.264,1.502,0.452
6.375,1.513,0.444
6.484,1.522,0.429
6.595,1.531,0.415
6.696,1.540,0.405
6.799,1.549,0.397
6.905,1.549,0.397
7.006,1.557,0.389
7.107,1.566,0.382
7.209,1.574,0.375
7.309,1.581,0.368
7.409,1.581,0.368
7.510,1.589,0.362
7.618,1.600,0.356
7.728,1.611,0.347
7.828,1.625,0.343
7.929,1.641,0.343
8.043,1.641,0.343
8.146,1.656,0.341
8.246,1.668,0.334
8.347,1.677,0.321
8.447,1.685,0.305
8.548,1.685,0.305
8.658,1.693,0.292
8.768,1.700,0.280
8.878,1.707,0.270
8.978,1.718,0.261
9.083,1.727,0.254
9.195,1.732,0.245
9.307,1.732,0.245
9.407,1.738,0.237
9.511,1.747,0.232
9.620,1.758,0.222
9.721,1.769,0.212
9.826,1.769,0.212
9.926,1.782,0.207
10.030,1.800,0.207
10.140,1.813,0.204
10.240,1.823,0.195
10.341,1.832,0.182
10.441,1.832,0.182
10.549,1.838,0.166
10.650,1.843,0.154
10.754,1.851,0.143
10.855,1.857,0.132
10.955,1.857,0.132
11.069,1.864,0.121
11.169,1.871,0.109
11.274,1.876,0.099
11.384,1.882,0.091
11.493,1.882,0.091
11.604,1.890,0.083
11.714,1.900,0.074
11.824,1.911,0.066
11.931,1.927,0.061
12.040,1.942,0.064
12.140,1.957,0.068
12.241,1.957,0.068
12.342,1.969,0.069
12.442,1.982,0.072
12.548,1.993,0.077
12.649,1.997,0.082
12.754,1.997,0.082
12.854,2.000,0.083
12.955,2.003,0.085
13.068,2.005,0.088
13.169,2.009,0.093
13.270,2.009,0.093
13.370,2.015,0.099
13.471,2.024,0.106
13.572,2.035,0.110
13.672,2.045,0.113
13.778,2.045,0.113
13.888,2.059,0.121
13.994,2.074,0.133
14.109,2.085,0.140
14.219,2.096,0.141
14.319,2.105,0.140
14.420,2.105,0.140
14.521,2.113,0.134
14.629,2.119,0.131
14.739,2.127,0.125
14.841,2.135,0.119
14.943,2.143,0.113
15.043,2.143,0.113
15.147,2.149,0.110
15.257,2.151,0.107
15.368,2.156,0.104
15.478,2.166,0.101
15.588,2.177,0.097
15.689,2.177,0.097
15.789,2.187,0.094
15.890,2.203,0.098
15.990,2.216,0.103
16.091,2.229,0.105
16.192,2.229,0.105
16.292,2.239,0.100
16.393,2.250,0.090
16.494,2.257,0.077
16.594,2.264,0.069
16.708,2.264,0.069
16.818,2.272,0.065
16.928,2.283,0.062
17.038,2.292,0.061
17.150,2.301,0.063
17.255,2.306,0.063
17.355,2.312,0.065
17.466,2.312,0.065
17.576,2.319,0.065
17.676,2.330,0.062
17.780,2.343,0.059
17.880,2.357,0.065
17.982,2.357,0.065
18.082,2.370,0.072
18.189,2.380,0.074
18.299,2.391,0.067
18.400,2.400,0.058
18.501,2.411,0.060
18.601,2.411,0.060
18.702,2.420,0.064
18.802,2.427,0.067
18.903,2.434,0.070
19.009,2.434,0.070
19.119,2.439,0.074
19.220,2.442,0.078
19.324,2.447,0.081
19.424,2.455,0.085
19.528,2.468,0.091
19.638,2.468,0.091
19.739,2.478,0.097
19.843,2.491,0.106
19.953,2.502,0.117
20.063,2.512,0.124
20.174,2.523,0.126
20.287,2.535,0.125
20.389,2.535,0.125
20.492,2.545,0.121
20.593,2.553,0.114
20.697,2.563,0.110
20.807,2.574,0.105
20.908,2.574,0.105
21.010,2.584,0.100
21.110,2.591,0.096
21.211,2.595,0.094
21.323,2.602,0.089
21.428,2.602,0.089
21.528,2.610,0.087
21.629,2.623,0.085
21.730,2.637,0.082
21.844,2.649,0.086
21.944,2.649,0.086
22.045,2.660,0.096
22.145,2.672,0.099
22.246,2.684,0.096
22.361,2.696,0.086
22.461,2.705,0.076
22.561,2.705,0.076
22.661,2.713,0.069
22.762,2.722,0.063
22.862,2.733,0.056
22.962,2.745,0.057
23.062,2.745,0.057
23.162,2.754,0.056
23.263,2.760,0.056
23.363,2.767,0.055
23.463,2.767,0.055
23.563,2.774,0.055
23.663,2.786,0.054
23.764,2.801,0.054
23.864,2.801,0.054
23.965,2.815,0.060
24.066,2.826,0.068
24.168,2.837,0.072
24.268,2.850,0.068
24.377,2.859,0.059
24.478,2.859,0.059
24.579,2.871,0.052
24.695,2.878,0.056
24.795,2.885,0.062
24.907,2.893,0.062
25.012,2.902,0.065
25.112,2.902,0.065
25.212,2.907,0.070
25.313,2.907,0.075
25.413,2.914,0.080
25.513,2.927,0.084
25.614,2.927,0.084
25.714,2.943,0.086
25.815,2.955,0.094
25.915,2.964,0.109
26.024,2.973,0.119
26.124,2.973,0.119
26.227,2.985,0.124
26.329,2.998,0.122
26.430,3.011,0.117
26.530,3.019,0.113
26.645,3.027,0.111
26.747,3.027,0.111
26.851,3.037,0.106
26.964,3.046,0.100
27.064,3.053,0.094
27.177,3.059,0.090
27.287,3.059,0.090
27.388,3.066,0.084
27.489,3.074,0.082
27.596,3.087,0.082
27.696,3.105,0.089
27.796,3.105,0.089
27.896,3.105,0.089
27.998,3.105,0.089
28.112,3.105,0.089
28.213,3.105,0.089
28.314,3.105,0.089
28.414,3.105,0.089
28.515,3.105,0.089
28.615,3.105,0.089
28.729,3.209,0.089
28.829,3.222,0.079
28.930,3.222,0.079
29.030,3.232,0.072
29.130,3.241,0.066
29.244,3.251,0.064
29.345,3.259,0.059
29.446,3.259,0.059
29.561,3.266,0.054
29.663,3.274,0.051
29.763,3.284,0.046
29.864,3.295,0.042
29.964,3.295,0.042
30.065,3.295,0.042
30.172,3.295,0.042
30.273,3.295,0.042
30.373,3.295,0.042
30.474,3.295,0.042
30.581,3.369,0.051
30.681,3.380,0.052
30.782,3.393,0.055
30.882,3.407,0.061
30.983,3.407,0.061
31.097,3.418,0.063
31.197,3.424,0.064
31.298,3.430,0.065
31.399,3.437,0.068
31.508,3.445,0.072
31.614,3.445,0.072
31.714,3.456,0.077
31.814,3.466,0.082
31.915,3.478,0.088
32.015,3.478,0.088
32.129,3.491,0.098
32.230,3.507,0.112
32.331,3.522,0.122
32.432,3.535,0.127
32.545,3.546,0.127
32.648,3.557,0.125
32.748,3.557,0.125
32.849,3.573,0.122
32.949,3.587,0.118
33.049,3.596,0.114
33.150,3.596,0.114
33.263,3.604,0.105
33.364,3.614,0.101
33.465,3.625,0.098
33.565,3.633,0.092
33.665,3.633,0.092
33.765,3.641,0.087
33.865,3.650,0.084
33.966,3.650,0.084
34.066,3.650,0.084
34.167,3.650,0.084
34.267,3.693,0.099
34.368,3.709,0.105
34.482,3.723,0.106
34.582,3.734,0.099
34.683,3.745,0.089
34.783,3.745,0.089
34.883,3.759,0.081
34.997,3.771,0.077
35.106,3.781,0.069
35.207,3.791,0.064
35.316,3.791,0.064
35.416,3.802,0.060
35.516,3.811,0.055
35.617,3.820,0.051
35.725,3.831,0.048
35.825,3.831,0.048
35.925,3.843,0.042
36.032,3.854,0.036
36.133,3.869,0.035
36.233,3.889,0.042
36.333,3.889,0.042
36.433,3.905,0.045
36.533,3.916,0.045
36.634,3.928,0.047
36.734,3.928,0.047
36.835,3.942,0.053
36.936,3.955,0.059
37.036,3.966,0.062
37.147,3.973,0.062
37.261,3.980,0.063
37.363,3.980,0.063
37.467,3.987,0.065
37.577,3.994,0.069
37.683,4.004,0.073
37.783,4.014,0.080
37.884,4.027,0.087
37.984,4.027,0.087
38.085,4.040,0.093
38.185,4.054,0.106
38.287,4.070,0.116
38.388,4.070,0.116
38.488,4.082,0.124
38.588,4.094,0.127
38.694,4.106,0.127
38.795,4.120,0.124
38.910,4.133,0.120
39.016,4.133,0.120
39.116,4.144,0.117
39.216,4.154,0.110
39.317,4.163,0.104
39.417,4.172,0.101
39.529,4.172,0.101
39.632,4.180,0.096
39.735,4.189,0.093
39.835,4.199,0.090
39.950,4.212,0.089
40.059,4.225,0.093
40.164,4.225,0.093
40.275,4.243,0.100
40.376,4.259,0.108
40.480,4.272,0.111
40.591,4.284,0.105
40.696,4.297,0.097
40.806,4.310,0.087
40.907,4.310,0.087
41.008,4.322,0.082
41.109,4.333,0.077
41.209,4.342,0.072
41.309,4.353,0.068
41.410,4.353,0.068
41.511,4.362,0.065
41.617,4.371,0.061
41.717,4.380,0.058
41.824,4.393,0.054
41.925,4.393,0.054
42.026,4.406,0.048
42.133,4.420,0.048
42.233,4.438,0.055
42.335,4.453,0.060
42.435,4.453,0.060
42.537,4.466,0.057
42.638,4.478,0.049
42.750,4.492,0.051
42.851,4.506,0.055
42.952,4.506,0.055
43.052,4.518,0.062
43.153,4.526,0.065
43.264,4.534,0.066
43.369,4.541,0.069
43.469,4.541,0.069
43.569,4.549,0.070
43.669,4.558,0.075
43.769,4.569,0.080
43.870,4.582,0.086
43.971,4.582,0.086
44.071,4.595,0.090
44.180,4.609,0.100
44.290,4.625,0.114
44.391,4.639,0.122
44.500,4.639,0.122
44.600,4.651,0.123
44.701,4.665,0.119
44.802,4.679,0.115
44.902,4.691,0.113
45.017,4.703,0.110
45.118,4.703,0.110
45.219,4.713,0.104
45.331,4.724,0.101
45.432,4.732,0.096
45.534,4.740,0.092
45.635,4.740,0.092
45.748,4.750,0.090
45.850,4.762,0.088
45.951,4.775,0.087
46.062,4.789,0.090
46.166,4.805,0.099
46.267,4.805,0.099
46.367,4.820,0.106
46.470,4.832,0.106
46.577,4.846,0.104
46.678,4.860,0.097
46.779,4.860,0.097
46.883,4.873,0.089
46.984,4.886,0.082
47.097,4.897,0.077
47.198,4.910,0.071
47.301,4.910,0.071
47.401,4.922,0.067
47.506,4.931,0.063
47.607,4.938,0.057
47.714,4.948,0.053
47.819,4.960,0.049
47.929,4.960,0.049
48.040,4.973,0.043
48.141,4.988,0.044
48.247,5.002,0.051
48.353,5.016,0.056
48.453,5.016,0.056
48.568,5.043,0.046
48.683,5.043,0.046
48.784,5.057,0.052
48.885,5.071,0.055
48.999,5.084,0.059
49.100,5.095,0.060
49.215,5.095,0.060
49.321,5.104,0.060
49.421,5.111,0.063
49.536,5.118,0.066
49.642,5.128,0.070
49.754,5.139,0.074
49.868,5.152,0.079
49.968,5.152,0.079
50.078,5.165,0.083
50.183,5.180,0.094
50.285,5.194,0.106
50.395,5.207,0.114
50.502,5.220,0.118
50.602,5.220,0.118
50.703,5.235,0.116
50.803,5.248,0.112
50.904,5.261,0.107
51.019,5.275,0.104
51.120,5.275,0.104
51.224,5.287,0.098
51.338,5.299,0.094
51.448,5.308,0.091
51.553,5.316,0.085
51.668,5.327,0.083
51.781,5.338,0.080
51.881,5.338,0.080
51.986,5.350,0.080
52.086,5.363,0.082
52.187,5.378,0.090
52.289,5.392,0.096
52.403,5.392,0.096
52.512,5.406,0.096
52.613,5.420,0.095
52.717,5.433,0.087
52.827,5.445,0.079
52.937,5.456,0.071
53.038,5.469,0.064
53.138,5.469,0.064
53.239,5.482,0.061
53.339,5.494,0.061
