time_s,x,y
0.000,0.075,1.265
0.104,1.019,0.925
0.215,1.051,0.914
0.315,1.085,0.885
0.415,1.122,0.839
0.516,1.146,0.792
0.616,1.146,0.792
0.717,1.163,0.748
0.829,1.177,0.711
0.929,1.199,0.682
1.030,1.225,0.666
1.144,1.254,0.655
1.245,1.254,0.655
1.345,1.294,0.657
1.459,1.341,0.673
1.561,1.379,0.700
1.662,1.408,0.722
1.774,1.408,0.722
1.884,1.437,0.735
1.994,1.470,0.740
2.105,1.501,0.737
2.212,1.535,0.726
2.325,1.572,0.692
2.435,1.606,0.649
2.545,1.631,0.605
2.655,1.631,0.605
2.766,1.651,0.564
2.876,1.673,0.533
2.976,1.699,0.512
3.077,1.725,0.501
3.191,1.725,0.501
3.302,1.758,0.496
3.414,1.799,0.507
3.526,1.838,0.534
3.639,1.869,0.564
3.750,1.895,0.586
3.860,1.927,0.599
3.962,1.958,0.606
4.064,1.958,0.606
4.174,1.987,0.603
4.284,2.027,0.590
4.394,2.070,0.556
4.495,2.103,0.515
4.595,2.127,0.477
4.709,2.153,0.440
4.819,2.153,0.440
4.922,2.179,0.412
5.024,2.207,0.396
5.134,2.234,0.390
5.243,2.274,0.390
5.354,2.274,0.390
5.463,2.315,0.412
5.565,2.344,0.445
5.667,2.370,0.475
5.768,2.398,0.497
5.869,2.398,0.497
5.969,2.429,0.511
6.070,2.456,0.519
6.172,2.487,0.518
6.282,2.535,0.498
6.392,2.579,0.465
6.492,2.579,0.465
6.593,2.607,0.429
6.693,2.634,0.393
6.794,2.666,0.361
6.894,2.698,0.337
6.995,2.698,0.337
7.096,2.723,0.329
7.196,2.754,0.325
7.300,2.796,0.333
7.400,2.832,0.362
7.501,2.832,0.362
7.601,2.851,0.401
7.703,2.876,0.430
7.807,2.907,0.449
7.909,2.936,0.464
8.009,2.936,0.464
8.110,2.961,0.472
8.210,2.995,0.471
8.326,3.048,0.449
8.427,3.092,0.417
8.528,3.092,0.417
8.641,3.072,0.455
8.742,3.118,0.423
8.842,3.164,0.391
8.942,3.195,0.357
9.042,3.218,0.328
9.143,3.218,0.328
9.243,3.247,0.312
9.343,3.277,0.308
9.444,3.306,0.308
9.544,3.306,0.308
9.658,3.338,0.327
9.758,3.378,0.364
9.859,3.408,0.404
9.959,3.424,0.434
10.059,3.424,0.434
10.160,3.441,0.455
10.260,3.470,0.470
10.375,3.503,0.478
10.476,3.540,0.476
10.576,3.540,0.476
10.688,3.583,0.454
10.789,3.632,0.428
10.904,3.675,0.397
11.007,3.706,0.368
11.108,3.735,0.346
11.209,3.768,0.338
11.311,3.768,0.338
11.425,3.797,0.340
11.525,3.827,0.346
11.626,3.859,0.374
11.726,3.891,0.417
11.826,3.891,0.417
11.941,3.910,0.455
12.041,3.924,0.483
12.142,3.947,0.505
12.255,3.976,0.522
12.359,3.976,0.522
12.472,4.007,0.529
12.573,4.048,0.526
12.675,4.098,0.507
12.776,4.146,0.483
12.876,4.186,0.456
12.977,4.186,0.456
13.077,4.219,0.430
13.178,4.252,0.415
13.289,4.283,0.413
13.390,4.312,0.417
13.491,4.312,0.417
13.592,4.344,0.435
13.693,4.374,0.471
13.793,4.395,0.515
13.908,4.409,0.553
14.009,4.423,0.582
14.123,4.423,0.582
14.223,4.447,0.605
14.324,4.476,0.621
14.425,4.507,0.630
14.525,4.554,0.626
14.627,4.554,0.626
14.737,4.606,0.609
14.838,4.652,0.588
14.938,4.691,0.565
15.039,4.728,0.545
15.139,4.728,0.545
15.242,4.763,0.537
15.343,4.792,0.542
15.451,4.822,0.553
15.557,4.852,0.579
15.657,4.852,0.579
15.758,4.874,0.621
15.858,4.884,0.666
15.959,4.895,0.702
16.060,4.911,0.731
16.160,4.911,0.731
16.261,4.935,0.754
16.361,4.961,0.770
16.471,4.996,0.781
