time_s,x,y
0.000,-0.023,1.329
0.101,1.011,0.923
0.202,1.036,0.901
0.302,1.076,0.888
0.403,1.114,0.886
0.504,1.155,0.903
0.604,1.155,0.903
0.705,1.195,0.930
0.805,1.225,0.957
0.906,1.249,0.977
1.007,1.249,0.977
1.107,1.283,0.985
1.208,1.340,0.977
1.308,1.392,0.953
1.409,1.423,0.912
1.513,1.423,0.912
1.623,1.432,0.863
1.732,1.427,0.815
1.843,1.414,0.777
1.954,1.406,0.745
2.064,1.403,0.717
2.165,1.403,0.717
2.266,1.424,0.676
2.366,1.452,0.645
2.467,1.488,0.625
2.568,1.531,0.622
2.668,1.574,0.627
2.774,1.574,0.627
2.883,1.609,0.635
2.985,1.644,0.634
3.086,1.680,0.616
3.186,1.721,0.575
3.294,1.721,0.575
3.395,1.745,0.528
3.499,1.749,0.478
3.599,1.728,0.430
3.704,1.699,0.394
3.805,1.699,0.394
3.908,1.673,0.367
4.009,1.657,0.343
4.109,1.647,0.316
4.210,1.651,0.271
4.310,1.651,0.271
4.412,1.663,0.235
4.522,1.694,0.200
4.622,1.737,0.183
4.723,1.777,0.176
4.823,1.777,0.176
4.932,1.805,0.168
5.032,1.833,0.148
5.134,1.858,0.112
5.234,1.883,0.085
5.335,1.883,0.085
5.436,1.903,0.089
5.536,1.909,0.095
5.640,1.909,0.094
5.750,1.918,0.093
5.859,1.928,0.095
5.969,1.928,0.095
6.079,1.946,0.096
6.182,1.983,0.088
6.284,2.022,0.083
6.394,2.056,0.090
6.504,2.091,0.130
6.615,2.091,0.130
6.725,2.114,0.178
6.826,2.124,0.210
6.929,2.133,0.236
7.039,2.150,0.262
7.149,2.182,0.285
7.250,2.182,0.285
7.351,2.229,0.294
7.451,2.280,0.284
7.552,2.320,0.259
7.652,2.350,0.230
7.753,2.350,0.230
7.859,2.369,0.204
7.969,2.394,0.179
8.079,2.428,0.166
8.189,2.481,0.172
8.298,2.521,0.188
8.408,2.551,0.218
8.518,2.551,0.218
8.628,2.557,0.271
8.738,2.549,0.320
8.839,2.541,0.354
8.940,2.535,0.378
9.040,2.535,0.378
9.141,2.539,0.404
9.242,2.557,0.440
9.342,2.589,0.475
9.448,2.630,0.493
9.558,2.681,0.494
9.670,2.681,0.494
9.781,2.727,0.489
9.894,2.760,0.482
10.006,2.795,0.483
10.109,2.828,0.501
10.210,2.857,0.546
10.322,2.857,0.546
10.432,2.869,0.587
10.533,2.862,0.631
10.637,2.831,0.666
10.747,2.795,0.692
10.857,2.764,0.707
10.958,2.740,0.719
11.058,2.740,0.719
11.159,2.725,0.740
11.267,2.716,0.782
11.367,2.715,0.829
11.472,2.732,0.869
11.583,2.732,0.869
11.696,2.766,0.900
11.807,2.797,0.926
11.920,2.820,0.949
12.030,2.835,0.976
12.140,2.833,1.023
12.250,2.810,1.068
12.350,2.781,1.096
12.451,2.781,1.096
12.552,2.735,1.103
12.652,2.690,1.095
12.753,2.656,1.080
12.864,2.656,1.080
12.974,2.630,1.062
13.084,2.604,1.048
13.185,2.577,1.050
13.286,2.539,1.072
13.387,2.508,1.102
13.493,2.508,1.102
13.603,2.490,1.138
13.713,2.483,1.180
13.813,2.476,1.218
13.917,2.470,1.251
14.029,2.453,1.276
14.131,2.453,1.276
14.231,2.401,1.296
14.332,2.357,1.299
14.438,2.319,1.282
14.543,2.295,1.241
14.643,2.295,1.241
14.743,2.283,1.198
14.844,2.280,1.163
14.944,2.285,1.132
15.045,2.282,1.105
15.146,2.282,1.105
15.246,2.257,1.083
15.347,2.214,1.065
15.447,2.176,1.061
15.548,2.139,1.070
15.649,2.139,1.070
15.762,2.099,1.087
15.863,2.062,1.102
15.967,2.034,1.113
16.068,2.001,1.103
16.171,2.001,1.103
16.271,1.960,1.066
16.372,1.940,1.030
16.472,1.945,0.984
16.580,1.975,0.945
16.681,1.975,0.945
